令和5年度慶應義塾大学日吉寄宿舎舎生名簿,,,,,,,,,,,,,,,
寄宿舎所在地:〒223-0051 神奈川県横浜市港北区箕輪町1-11-19  ,,,,,,,,,,,,,,,
"舎監:柳瀬 宏平(法学部教授) 住所:〒291-2735 千葉県市川市南八幡1-4-3 TEL:043-502-4049
携帯電話番号:090-8689-2182　メールアドレス:yanasekohei_09915538@keio.jp
※なおこのCSVの個人情報は全てプログラムを用いて生成されたダミーである。",,,,,,,,,,,,,,,
部屋番号,名前,学部学科,学年,生年月日,血液型,携帯の電話番号,帰省先の電話番号,携帯のメールアドレス,PCのメールアドレス,出身高等学校,帰省先の住所,休日の過ごし方,ひようらで好きな店,好きな異性のタイプ,好きな女優
206,柳瀬 宏平,文学部人文社会学科哲学系哲学専攻,3,2002/10/3,O,9086892182,435024049,yanasekohei_09915538@hotmaill.com,yanasekohei_09915538@keio.jp,千葉県立清水高校,2912735 千葉県市川市南八幡1丁目4番地3号,ひたすらに努力,くろちゃん,永野めい,長野めい
203,近藤 浩史,理工学部電気情報工学科,4,2000/11/19,A,7050577207,360158216,kondou_1119_45909233@gmail.com,kondou_1119_45909233@keio.jp,東京都私立山下高等学校,104-4366 東京都港区芝浦2-3-13,ゲーム,どんどん,ガッキー,ガッキー
204,石原 貴央,法学部法律学科,3,2001/9/15,A型,080-5500-0153,03-8281-6927,ishihara_915_94226935@hotmaill.com,ishihara_915_94226935@keio.jp,東京都立和高等学校,1270397 東京都渋谷区恵比寿3丁目1番地105号,ひたすらに努力,くろちゃん,永野めい,長野めい
205,西塚 一徳,商学部,1,2003/10/10,A,070-0312-1372,0135-99-0163,nishizukakazunori_03417398@gmail.com,nishizukakazunori_03417398@keio.jp,北海道私立ネクスト高校,0785714 北海道旭川市東二条3-4-15メイツ105,ゲーム,どんどん,ガッキー,ガッキー
206,山田 俊秀,経済学部,2,2004/1/17,A,080-6309-3955,なし,toshihideyamada_57518874@gmail.com,toshihideyamada_57518874@keio.jp,兵庫県立高橋高校,678-5397 兵庫県神戸市中央区栄町通2-3-7,ひたすらに努力,くろちゃん,永野めい,長野めい
203,北村 悠介,法学部政治学科,1,2004/8/4,AB,090-2158-0673,0952-46-5151,kitamura_yuusuke_47538927@hotmaill.com,kitamura_yuusuke_47538927@keio.jp,佐賀県私立アドバンス高校,8433789 佐賀県鳥栖市弥生が丘3-5-603,ゲーム,どんどん,ガッキー,ガッキー
201,竹内 恵一,看護医療学部看護学科,2,2004/1/9,AB,050-2461-2559,03-3447-5917,takeuchi_19_59745756@yahoo.co.jp,takeuchi_19_59745756@keio.jp,東京都立和高等学校,196-9903 東京都大田区蒲田3丁目3番地1107号,ひたすらに努力,くろちゃん,永野めい,長野めい
201,小林 透,薬学部,1,2004/12/12,O,7026573792,306694745,kobayashi_1212_70511922@yahoo.co.jp,kobayashi_1212_70511922@keio.jp,東京都私立山下高等学校,188-1715 東京都世田谷区桜上水2-1-7,ゲーム,どんどん,ガッキー,ガッキー
207,田中 大輔,医学部,4,1999/6/24,A,5010383537,390162492,daisuke_tanaka_97028190@gmail.com,daisuke_tanaka_97028190@keio.jp,東京都私立山下高等学校,135-0647 東京都渋谷区恵比寿2-4-4,ひたすらに努力,くろちゃん,永野めい,長野めい
203,並木 美緒,文学部人文社会学科哲学系哲学専攻,3,2002/4/21,A型,070-3912-1779,なし,namiki_421_48487259@yahoo.co.jp,namiki_421_48487259@keio.jp,兵庫県立高橋高校,6622625 兵庫県神戸市中央区八幡通2-3-19,ゲーム,どんどん,ガッキー,ガッキー
201,渥美 直,理工学部物理学科,3,2002/7/6,A,070-9871-1849,なし,tadashiatsumi_79433164@yahoo.co.jp,tadashiatsumi_79433164@keio.jp,熊本県私立新和高等学校,8629813 熊本県熊本市東区東野3丁目3番地13号プレミアム405,ひたすらに努力,くろちゃん,永野めい,長野めい
202,大森 貴雄,法学部法律学科,2,2001/4/21,A型,080-3404-7199,03-1214-7691,omoritakao_11581753@yahoo.co.jp,omoritakao_11581753@keio.jp,東京都私立山下高等学校,1838563 東京都町田市南成瀬1-1-801,ゲーム,どんどん,ガッキー,ガッキー
206,石原 圭司,商学部,1,2005/5/25,A型,080-7235-9707,なし,ishihara525_88158332@hotmaill.com,ishihara525_88158332@keio.jp,広島県立東光館高校,7394671 広島県広島市安佐北区可部2-5-8,ひたすらに努力,くろちゃん,永野めい,長野めい
207,柳田 健太,経済学部,2,2003/6/29,B,080-4553-7935,848170149,yanagida_kenta_93925745@hotmaill.com,yanagida_kenta_93925745@keio.jp,広島県立東光館高校,730-2960 広島県安芸郡坂町平成ヶ浜1丁目1番地8号コスモハイツ805,ゲーム,どんどん,ガッキー,ガッキー
204,斎藤 健雄,法学部政治学科,2,2003/12/13,A,080-1682-9085,564568695,takeo_saito_72317793@yahoo.co.jp,takeo_saito_72317793@keio.jp,愛知県立丸壹高等学校,485-9853 愛知県蒲郡市三谷北通2-5-17,ひたすらに努力,くろちゃん,永野めい,長野めい
205,船木 一朗,法学部政治学科,3,2001/8/31,A,7072533250,291840578,funakiichiroo_18329745@hotmaill.com,funakiichiroo_18329745@keio.jp,茨城県私立三興高校,3072193 茨城県土浦市下高津3-2-701ローレルハイツ804,ゲーム,どんどん,ガッキー,ガッキー
202,八田 わたる,薬学部,4,1999/10/13,B型,5027619034,561598156,wataruhatta_98299207@gmail.com,wataruhatta_98299207@keio.jp,愛知県名古屋市立鈴木高等学校,452-0260 愛知県名古屋市東区砂田橋2-2-8,ひたすらに努力,くろちゃん,永野めい,長野めい
207,原島 秀樹,医学部,3,2001/12/9,A,7016541330,333539067,harashima129_97503055@hotmaill.com,harashima129_97503055@keio.jp,東京都立和高等学校,166-1527 東京都中野区中野2-1-7,ゲーム,どんどん,ガッキー,ガッキー
204,丸山 建人,文学部人文社会学科哲学系哲学専攻,4,2000/10/30,A,5033271694,308441794,takehitomaruyama_13686445@gmail.com,takehitomaruyama_13686445@keio.jp,東京都立和高等学校,1308735 東京都葛飾区四つ木1丁目4番地405号,ひたすらに努力,くろちゃん,永野めい,長野めい
202,進藤 剛,理工学部物理情報工学科,3,2002/11/22,O,080-3567-3934,049-840-5025,tsuyoshi_shindou_44593032@yahoo.co.jp,tsuyoshi_shindou_44593032@keio.jp,埼玉県立大和高校,332-8340 埼玉県さいたま市大宮区宮町1-5-20フローラ608,ゲーム,どんどん,ガッキー,ガッキー
205,佐々木 智博,経済学部,4,1999/10/9,O,080-6158-8061,03-8666-0392,sasakitomohiro_40385251@yahoo.co.jp,sasakitomohiro_40385251@keio.jp,東京都立和高等学校,1698417 東京都千代田区麹町1-5-402ダイヤハイツ305,ひたすらに努力,くろちゃん,永野めい,長野めい
